Item,Price,cost,ValidFrom,ValidTo,Type
Lamberti Pinot Grigio-Btl,35.0,0,2021-08-19,2023-10-18,Btl
Lamberti Pinot Grigio-Btl,10.57,0,2023-10-19,2023-10-19,Btl
Lamberti Pinot Grigio-Btl,35.0,0,2023-10-20,2023-11-22,Btl
Lamberti Pinot Grigio-Btl,11.081,0,2023-11-23,2023-11-22,Btl
Lamberti Pinot Grigio-Btl,35.0,0,2023-11-23,2023-12-26,Btl
Lamberti Pinot Grigio-Btl,10.49,0,2023-12-27,2023-12-28,Btl
Lamberti Pinot Grigio-Btl,37.0,0,2023-12-29,2024-09-28,Btl
Lamberti Pinot Grigio-Btl,10.506,0,2024-09-29,2024-10-02,Btl
Lamberti Pinot Grigio-Btl,37.0,0,2024-10-03,2099-12-31,Btl
