Item,Price,cost,ValidFrom,ValidTo,Type
Long Mountain Cabernet -Btl,32.0,0,2021-08-19,2023-01-08,Btl
Long Mountain Cabernet -Btl,35.0,0,2023-01-09,2023-10-25,Btl
Long Mountain Cabernet -Btl,13.12,0,2023-10-26,2023-10-30,Btl
Long Mountain Cabernet -Btl,35.0,0,2023-10-31,2024-01-11,Btl
Long Mountain Cabernet -Btl,37.0,0,2024-01-12,2024-06-29,Btl
Long Mountain Cabernet -Btl,12.305,0,2024-06-30,2024-06-30,Btl
Long Mountain Cabernet -Btl,37.0,0,2024-07-01,2024-11-09,Btl
Long Mountain Cabernet -Btl,12.3,0,2024-11-10,2024-12-03,Btl
Long Mountain Cabernet -Btl,37.0,0,2024-12-04,2099-12-31,Btl
