Item,Price,cost,ValidFrom,ValidTo,Type
Santa Digna Sauvignon Blanc- Btl,38.0,0,2021-08-19,2022-09-18,Btl
Santa Digna Sauvignon Blanc- Btl,40.0,0,2022-09-19,2024-01-24,Btl
Santa Digna Sauvignon Blanc- Btl,50.0,0,2024-01-25,2024-06-29,Btl
Santa Digna Sauvignon Blanc- Btl,15.429,0,2024-06-30,2024-07-01,Btl
Santa Digna Sauvignon Blanc- Btl,50.0,0,2024-07-02,2024-09-28,Btl
Santa Digna Sauvignon Blanc- Btl,15.429,0,2024-09-29,2024-09-30,Btl
Santa Digna Sauvignon Blanc- Btl,50.0,0,2024-10-01,2099-12-31,Btl
